signal_id,role,bar_utc,open,high,low,close,spread,bar_utc_chart_label
197,spike,2026-09-02 22:30:00+00:00,4381.11,4388.65,4381.11,4388.01,8.0,2026.09.03 01:30:00
197,after_spike,2026-09-02 22:45:00+00:00,4388.0,4391.2,4384.97,4391.01,8.0,2026.09.03 01:45:00
197,signal,2026-09-02 23:00:00+00:00,4391.09,4391.47,4385.93,4385.98,8.0,2026.09.03 02:00:00
198,context,2026-09-03 01:00:00+00:00,4386.47,4393.29,4386.42,4390.05,17.0,2026.09.03 04:00:00
198,before_spike,2026-09-03 01:15:00+00:00,4390.02,4390.87,4387.97,4389.81,17.0,2026.09.03 04:15:00
198,spike,2026-09-03 01:30:00+00:00,4389.79,4389.82,4384.94,4385.0,16.0,2026.09.03 04:30:00
198,after_spike,2026-09-03 01:45:00+00:00,4385.11,4385.3,4383.57,4384.66,11.0,2026.09.03 04:45:00
198,signal,2026-09-03 02:00:00+00:00,4384.7,4386.74,4383.91,4383.96,14.0,2026.09.03 05:00:00
199,context,2026-09-03 07:30:00+00:00,4436.64,4438.37,4435.58,4438.05,11.0,2026.09.03 10:30:00
199,before_spike,2026-09-03 07:45:00+00:00,4438.06,4438.35,4434.09,4437.41,14.0,2026.09.03 10:45:00
199,spike,2026-09-03 08:00:00+00:00,4437.34,4440.19,4429.0,4429.67,17.0,2026.09.03 11:00:00
199,after_spike,2026-09-03 08:15:00+00:00,4429.73,4430.84,4422.78,4424.96,17.0,2026.09.03 11:15:00
199,signal,2026-09-03 08:30:00+00:00,4425.05,4432.56,4422.59,4432.26,17.0,2026.09.03 11:30:00
200,context,2026-09-03 12:00:00+00:00,4434.97,4441.99,4434.19,4438.26,8.0,2026.09.03 15:00:00
200,before_spike,2026-09-03 12:15:00+00:00,4438.25,4438.31,4432.22,4435.28,8.0,2026.09.03 15:15:00
200,spike,2026-09-03 12:30:00+00:00,4435.24,4437.69,4429.86,4430.04,8.0,2026.09.03 15:30:00
200,after_spike,2026-09-03 12:45:00+00:00,4430.02,4430.6,4426.06,4427.76,8.0,2026.09.03 15:45:00
200,signal,2026-09-03 13:00:00+00:00,4427.77,4430.23,4423.41,4424.76,8.0,2026.09.03 16:00:00
201,context,2026-09-04 09:00:00+00:00,4472.06,4473.38,4466.71,4468.94,8.0,2026.09.04 12:00:00
201,before_spike,2026-09-04 09:15:00+00:00,4468.95,4471.86,4466.77,4468.91,8.0,2026.09.04 12:15:00
201,spike,2026-09-04 09:30:00+00:00,4468.9,4469.78,4463.18,4464.25,8.0,2026.09.04 12:30:00
201,after_spike,2026-09-04 09:45:00+00:00,4464.16,4464.46,4460.26,4462.98,8.0,2026.09.04 12:45:00
