time,open,high,low,close,tick_volume,spread,real_volume
2026-07-20 04:30:00+00:00,4002.84,4005.56,3995.46,3996.85,3191,8,0
2026-07-20 04:45:00+00:00,3996.87,4004.18,3996.81,4001.85,2744,8,0
2026-07-20 05:00:00+00:00,4001.88,4009.75,4001.09,4006.05,2919,8,0
2026-07-20 05:15:00+00:00,4006.13,4008.62,4003.79,4006.71,2124,8,0
2026-07-20 05:30:00+00:00,4006.73,4016.14,4005.86,4014.81,2796,8,0
2026-07-20 05:45:00+00:00,4014.81,4028.69,4013.99,4021.94,2875,8,0
2026-07-20 06:00:00+00:00,4021.85,4024.53,4018.56,4024.13,2401,8,0
2026-07-20 06:15:00+00:00,4023.93,4026.8,4021.68,4022.11,2381,8,0
2026-07-20 06:30:00+00:00,4022.32,4027.96,4018.77,4027.06,1857,8,0
2026-07-20 06:45:00+00:00,4027.13,4027.77,4022.76,4024.14,1579,8,0
2026-07-20 07:00:00+00:00,4024.1,4026.76,4021.45,4021.49,1112,8,0
2026-07-20 07:15:00+00:00,4021.5,4025.58,4021.41,4025.34,942,8,0
2026-07-20 07:30:00+00:00,4025.42,4025.42,4022.19,4023.03,1349,8,0
2026-07-20 07:45:00+00:00,4022.97,4022.99,4018.55,4018.97,1278,8,0
2026-07-20 08:00:00+00:00,4019.04,4021.2,4011.86,4014.28,1383,8,0
2026-07-20 08:15:00+00:00,4013.85,4015.02,4009.96,4010.89,1496,8,0
2026-07-20 08:30:00+00:00,4010.99,4014.55,4008.0,4009.91,2470,8,0
2026-07-20 08:45:00+00:00,4009.92,4010.86,4005.5,4008.72,2331,8,0
2026-07-20 09:00:00+00:00,4008.77,4011.74,4006.81,4007.45,2369,8,0
2026-07-20 09:15:00+00:00,4007.35,4009.66,4003.99,4004.88,2072,8,0
2026-07-20 09:30:00+00:00,4004.89,4006.41,4002.94,4004.87,2236,8,0
2026-07-20 09:45:00+00:00,4004.85,4007.65,4003.27,4003.84,1654,8,0
2026-07-20 10:00:00+00:00,4004.12,4006.9,4002.2,4004.32,1582,8,0
2026-07-20 10:15:00+00:00,4004.4,4008.77,4002.28,4006.75,1854,8,0
2026-07-20 10:30:00+00:00,4006.74,4021.06,4006.66,4021.06,2473,8,0
2026-07-20 10:45:00+00:00,4021.1,4021.84,4015.82,4016.95,2068,8,0
2026-07-20 11:00:00+00:00,4017.23,4025.49,4017.23,4024.02,2210,8,0
2026-07-20 11:15:00+00:00,4024.2,4030.63,4021.84,4021.93,2042,8,0
2026-07-20 11:30:00+00:00,4021.97,4024.92,4018.96,4021.86,1824,8,0
2026-07-20 11:45:00+00:00,4021.97,4022.95,4017.55,4019.06,1589,8,0
2026-07-20 12:00:00+00:00,4018.88,4021.1,4015.26,4019.5,1546,8,0
2026-07-20 12:15:00+00:00,4019.51,4022.16,4015.56,4016.43,1309,8,0
2026-07-20 12:30:00+00:00,4016.26,4021.34,4014.86,4019.59,1618,8,0
2026-07-20 12:45:00+00:00,4019.46,4023.9,4017.93,4021.67,1545,8,0
2026-07-20 13:00:00+00:00,4021.69,4021.84,4018.16,4020.82,1320,8,0
2026-07-20 13:15:00+00:00,4020.88,4023.38,4018.75,4021.95,1072,8,0
2026-07-20 13:30:00+00:00,4021.87,4024.35,4021.24,4022.23,998,8,0
2026-07-20 13:45:00+00:00,4022.2,4025.69,4020.99,4024.21,1197,8,0
2026-07-20 14:00:00+00:00,4024.24,4027.36,4019.84,4022.07,1820,8,0
2026-07-20 14:15:00+00:00,4022.19,4023.97,4020.02,4022.28,1210,8,0
2026-07-20 14:30:00+00:00,4022.22,4040.65,4021.51,4032.53,3388,8,0
2026-07-20 14:45:00+00:00,4032.26,4032.26,4025.03,4025.27,2522,8,0
2026-07-20 15:00:00+00:00,4024.91,4025.28,4011.47,4012.76,3033,8,0
2026-07-20 15:15:00+00:00,4012.39,4014.83,4006.86,4012.87,2313,8,0
2026-07-20 15:30:00+00:00,4012.83,4014.82,4006.48,4009.94,2404,8,0
2026-07-20 15:45:00+00:00,4010.1,4015.65,4008.02,4008.23,2253,8,0
2026-07-20 16:00:00+00:00,4008.21,4013.85,4007.92,4008.53,2724,8,0
2026-07-20 16:15:00+00:00,4008.51,4012.47,4006.79,4008.42,2630,8,0
2026-07-20 16:30:00+00:00,4008.47,4017.23,4007.98,4012.74,3259,8,0
2026-07-20 16:45:00+00:00,4012.86,4013.11,4005.75,4005.86,3191,8,0
2026-07-20 17:00:00+00:00,4005.81,4007.93,3998.31,3998.56,3446,8,0
2026-07-20 17:15:00+00:00,3998.91,4006.73,3998.32,4006.65,3129,8,0
2026-07-20 17:30:00+00:00,4006.73,4010.91,4006.07,4007.38,2587,8,0
2026-07-20 17:45:00+00:00,4007.39,4013.4,4005.15,4006.2,2901,8,0
2026-07-20 18:00:00+00:00,4006.21,4019.45,4004.46,4014.36,3022,8,0
2026-07-20 18:15:00+00:00,4014.37,4016.64,4011.24,4016.55,2852,8,0
2026-07-20 18:30:00+00:00,4016.51,4016.88,4010.29,4012.95,2339,8,0
2026-07-20 18:45:00+00:00,4012.97,4016.52,4011.82,4011.86,2041,8,0
2026-07-20 19:00:00+00:00,4011.78,4018.39,4011.39,4013.78,2235,8,0
2026-07-20 19:15:00+00:00,4013.82,4014.4,4010.81,4012.51,1934,8,0
2026-07-20 19:30:00+00:00,4012.59,4012.75,4001.37,4009.63,2255,8,0
2026-07-20 19:45:00+00:00,4009.39,4010.58,4007.16,4009.89,2141,8,0
2026-07-20 20:00:00+00:00,4009.85,4012.36,4009.62,4010.3,1684,8,0
2026-07-20 20:15:00+00:00,4010.21,4013.06,4008.91,4012.14,1578,8,0
2026-07-20 20:30:00+00:00,4012.12,4012.99,4007.75,4008.07,1504,8,0
2026-07-20 20:45:00+00:00,4008.06,4008.07,4003.81,4005.26,1814,8,0
2026-07-20 21:00:00+00:00,4005.29,4010.88,4005.29,4008.82,1423,8,0
